Date,Consumer Sentiment,PCE Total,PCE Durables,PCE Nondurables,PCE Services,Real Disposable Income,Recession Flag,Sentiment_MoM,Spending_MoM,Sentiment_Z,Spending_Z,Divergence_Raw,Divergence_3m,Divergence_6m,High_Divergence_Flag,Event_Label
2015-06-01,96.1,12307.9,1317.8,2656.7,8333.4,13874.1,0,0.0595369349503858,0.002647571565896,1.075110058372251,-0.1125628223709745,1.1876728807432255,0.2527057075327227,0.1947738361701891,0,
2015-07-01,93.1,12364.9,1324.7,2676.5,8363.7,13905.7,0,-0.0312174817898023,0.0046311718489751,-0.5474781906187023,0.0715140593425023,-0.6189922499612046,-0.178597680922828,-0.1507291695582112,0,
2015-08-01,91.9,12396.2,1330.9,2672.5,8392.8,13935.8,0,-0.0128893662728247,0.0025313589272861,-0.2197918263381259,-0.1233472834912298,-0.0964445428468961,0.1574120293117083,-0.0823156446997257,0,
2015-09-01,87.2,12386.4,1325.1,2651.1,8410.2,13972.2,0,-0.0511425462459195,-0.0007905648505187,-0.9037162295831082,-0.431619759314326,-0.4720964702687821,-0.3958444210256275,-0.0715693567464525,0,
2015-10-01,90.0,12394.9,1317.5,2637.2,8440.2,13996.9,0,0.0321100917431191,0.0006862365174706,0.5847485410652761,-0.2945735040538074,0.8793220451190835,0.1035936773344684,-0.0375020017941798,0,
2015-11-01,91.3,12423.2,1332.1,2649.4,8441.7,13993.4,0,0.0144444444444444,0.0022831971213967,0.2689063732983024,-0.146376545877497,0.4152829191757994,0.2741694980087003,0.2157907636602043,0,
2015-12-01,92.6,12452.0,1332.8,2644.6,8474.6,14060.2,0,0.0142387732749178,0.0023182432867536,0.2652292010479918,-0.1431242833677866,0.4083534844157784,0.5676528162368872,0.0859041976056297,0,
2016-01-01,92.0,12478.0,1329.7,2630.2,8518.0,14121.1,0,-0.0064794816414686,0.002088017989078,-0.1051902030364073,-0.1644890488647412,0.0592988458283339,0.2943117498066374,0.1989527135705528,0,
2016-02-01,91.7,12554.5,1353.1,2631.0,8570.5,14135.3,0,-0.0032608695652173,0.0061307901907357,-0.047644991237662,0.2106777156831482,-0.2583227069208103,0.0697765411077674,0.1719730195582338,0,
2016-03-01,91.0,12537.0,1333.2,2637.4,8566.4,14135.4,0,-0.0076335877862595,-0.0013939224979091,-0.125824340039205,-0.4876109765152031,0.361786636475998,0.0542542584611739,0.3109535373490306,0,
2016-04-01,89.0,12611.5,1339.2,2660.0,8612.3,14106.2,0,-0.021978021978022,0.0059424104650236,-0.3822869034493124,0.1931961934314527,-0.5754830968807652,-0.157339722441859,0.0684860136823891,0,
2016-05-01,94.7,12652.7,1340.2,2672.3,8640.2,14095.5,0,0.0640449438202248,0.0032668596122586,1.1557082538241394,-0.0550932739799445,1.210801527804084,0.3323683557997723,0.2010724484537699,0,
2016-06-01,93.5,12731.2,1358.2,2701.5,8671.5,14104.9,0,-0.0126715945089757,0.0062042093782355,-0.2158983088909793,0.2174909709585124,-0.4333892798494917,0.0673097170246091,0.0607819877428915,0,
2016-07-01,90.0,12756.7,1365.6,2676.4,8714.7,14160.1,0,-0.0374331550802139,0.0020029533743872,-0.6586075306866522,-0.1723829925942404,-0.4862245380924118,0.0970625699540602,-0.0301385762438994,0,
2016-08-01,89.8,12788.1,1363.4,2682.2,8742.5,14176.7,0,-0.0022222222222222,0.0024614516293397,-0.029075129470888,-0.1298346375840704,0.1007595081131823,-0.2729514366095737,0.0297084595950993,0,
2016-09-01,91.2,12846.6,1369.9,2694.8,8781.9,14209.1,0,0.0155902004454344,0.0045745654162854,0.2893912189972111,0.0662610173343287,0.2231302016628824,-0.0541116094387823,0.0065990537929133,0,
2016-10-01,87.2,12867.0,1375.5,2701.5,8790.1,14235.4,0,-0.043859649122807,0.0015879688010835,-0.7735061118276004,-0.2108933048101492,-0.5626128070174512,-0.0795743657471287,0.0087441021034657,0,
2016-11-01,93.8,12893.0,1357.7,2700.7,8834.7,14273.6,0,0.0756880733944953,0.0020206730395586,1.3638744886727905,-0.1707386186053976,1.534613107278188,0.3983768339745397,0.062712698682483,0,
2016-12-01,98.2,13005.9,1392.1,2730.6,8883.2,14313.7,0,0.046908315565032,0.0087566896765687,0.8493243594313812,0.4543595668950504,0.3949647925363307,0.4556550309323559,0.2007717107467868,0,
2017-01-01,98.5,13063.7,1384.9,2751.5,8927.3,14373.7,0,0.0030549898167004,0.0044441368917185,0.0652755649565031,0.0541573307732957,0.0111182341832073,0.6468987113325755,0.2836621727927233,0,
2017-02-01,96.3,13088.4,1390.3,2757.7,8940.4,14416.8,0,-0.0223350253807106,0.0018907353965567,-0.3886697280749246,-0.1827967516602441,-0.2058729764146805,0.0667366834349525,0.2325567587047462,0,
2017-03-01,96.9,13139.9,1380.1,2770.2,8989.7,14476.3,0,0.0062305295950155,0.0039347819443171,0.1220506918712432,0.0068895060997536,0.1151611857714895,-0.0265311854866611,0.2145619227228473,0,
2017-04-01,97.0,13169.2,1390.8,2778.6,8999.7,14509.3,0,0.0010319917440659,0.0022298495422341,0.0291066046095348,-0.1513271682901833,0.1804337728997181,0.0299073274188424,0.338403019375709,0,
2017-05-01,97.1,13171.9,1388.8,2755.8,9027.2,14610.7,0,0.0010309278350515,0.0002050238435136,0.0290875830971188,-0.3392297431250785,0.3683173262221973,0.2213040949644684,0.1440203891997105,0,
2017-06-01,95.0,13225.2,1403.5,2771.4,9050.2,14618.7,0,-0.0216271884654993,0.0040464929129435,-0.3760143896123151,0.017256215024607,-0.3932706046369221,0.0518268314949978,0.0126478230041683,0,
2017-07-01,93.4,13263.3,1412.6,2763.0,9087.6,14660.2,0,-0.0168421052631578,0.0028808638054622,-0.2904624126017556,-0.0909134465599121,-0.1995489660418435,-0.0748340814855226,-0.0224633770333401,0,
2017-08-01,96.8,13294.6,1403.5,2788.8,9102.4,14678.3,0,0.0364025695931475,0.0023598953503276,0.6614932810865715,-0.1392589975816157,0.8007522786681872,0.0693109026631405,0.1453074988138044,0,
2017-09-01,95.1,13417.3,1437.3,2842.9,9137.1,14706.0,0,-0.0175619834710744,0.0092293111488874,-0.303333036014101,0.4982185477579798,-0.8015515837720808,-0.0667827570485789,-0.0074779627767905,0,
2017-10-01,100.7,13447.5,1447.1,2825.8,9174.6,14748.6,0,0.0588853838065195,0.0022508254268742,1.0634610470334356,-0.1493806191448379,1.2128416661782735,0.4040141203581266,0.1645900194363019,0,
2017-11-01,98.5,13540.6,1467.0,2856.9,9216.7,14771.1,0,-0.0218470705064548,0.0069232199293549,-0.3799456364720671,0.2842147062282554,-0.6641603427003225,-0.0842900867647099,-0.0074895920507846,0,
2017-12-01,95.9,13666.1,1485.0,2893.0,9288.0,14797.9,0,-0.0263959390862943,0.0092684223741932,-0.4612743581912744,0.5018480453214209,-0.9631224035126952,-0.138147026678248,-0.1024648918634135,0,
2018-01-01,95.7,13703.3,1478.2,2906.9,9318.2,14886.6,0,-0.0020855057351407,0.002722064085584,-0.0266307904144564,-0.1056499625311528,0.0790191721166963,-0.5160878580321071,-0.0560368688369902,0,
2018-02-01,99.7,13738.7,1490.7,2906.9,9341.2,14921.1,0,0.0417972831765935,0.0025833193464348,0.7579447727228475,-0.1185253886714898,0.8764701613943374,-0.0025443566672204,-0.0434172217159651,0,
2018-03-01,101.4,13793.2,1481.1,2900.0,9412.1,14974.8,0,0.0170511534603812,0.0039668964312489,0.3155114374893518,0.0098697106614546,0.3056417268278971,0.420377020112977,0.1411149967173644,0,
2018-04-01,98.8,13838.4,1478.4,2909.1,9451.0,15007.2,0,-0.0256410256410257,0.0032769770611604,-0.4477773436183667,-0.0541543809677675,-0.3936229626505992,0.2628296418572118,-0.1266291080874476,0,
2018-05-01,98.0,13905.0,1498.8,2939.3,9466.9,15057.8,0,-0.0080971659919028,0.0048126951092613,-0.1341126038613221,0.0883593058354496,-0.2224719096967717,-0.1034843818398245,-0.0530143692535225,0,
2018-06-01,98.2,13930.4,1487.2,2916.9,9526.3,15119.3,0,0.0020408163265306,0.001826681049982,0.0471432685163339,-0.1887409554790452,0.2358842239953791,-0.1267368827839972,0.1468200686644899,0,
2018-07-01,97.9,13974.8,1492.6,2926.3,9555.9,15184.7,0,-0.0030549898167006,0.0031872738758398,-0.0439640898264968,-0.0624787811881379,0.018514691361641,0.0106423352200828,0.1367359885386473,0,
2018-08-01,96.2,14014.0,1497.0,2929.1,9587.9,15238.6,0,-0.017364657814096,0.0028050490883591,-0.2998050722660207,-0.0979490055036103,-0.2018560667624104,0.0175142828648699,-0.0429850494874773,0,
2018-09-01,100.1,14017.8,1485.2,2937.1,9595.5,15237.5,0,0.0405405405405403,0.0002711574140144,0.7354756091657321,-0.3330925886095198,1.068568197775252,0.2950756074581609,0.0841693623370818,0,
2018-10-01,98.6,14083.1,1483.9,2958.0,9641.1,15274.1,0,-0.014985014985015,0.0046583629385497,-0.2572596994902121,0.0740373756688723,-0.3312970751590844,0.1784716852845857,0.0945570102523342,0,
